State Name,In Person Registration Deadline,Postmarked Mail Registration Deadline,Online Registration,Link to Registration,Link to Check Polling Place
Alabama,October 19,October 19,October 19,https://www.vote.org/register-to-vote/alabama/,https://myinfo.alabamavotes.gov/VoterView/PollingPlaceSearch.do
Alaska,October 4,October 3,October 4,https://www.vote.org/register-to-vote/alaska/,https://myvoterinformation.alaska.gov/
Arizona,October 5,October 5,October 5,https://www.vote.org/register-to-vote/arizona/,https://my.arizona.vote/PortalList.aspx
Arkansas,October 4,October 5,N/A,#,https://www.voterview.ar-nova.org/voterview
California,October 19,October 19,October 19,https://www.vote.org/register-to-vote/california/,https://www.sos.ca.gov/elections/polling-place/
Colorado,November 3,October 26,October 26,https://www.vote.org/register-to-vote/colorado/,https://www.sos.state.co.us/pubs/elections/Resources/CountyElectionOffices.html
Connecticut,October 27,October 27,October 27,https://www.vote.org/register-to-vote/connecticut/,https://portaldir.ct.gov/sots/LookUp.aspx
Delaware,October 14,October 14,October 10,https://www.vote.org/register-to-vote/delaware/,https://ivote.de.gov/VoterView
District of Columbia,November 3,October 13,October 13,https://www.vote.org/register-to-vote/district-of-columbia/,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places
Florida,October 5,October 5,October 5,https://www.vote.org/register-to-vote/florida/,https://registration.elections.myflorida.com/CheckVoterStatus
Georgia,October 5,October 5,October 5,https://www.vote.org/register-to-vote/georgia/,https://www.mvp.sos.ga.gov/MVP/mvp.do
Hawaii,October 4,October 4,October 4,https://www.vote.org/register-to-vote/hawaii/,https://olvr.hawaii.gov/altpollingplacesearch.aspx
Idaho,October 10,October 10,October 10,https://www.vote.org/register-to-vote/idaho/,https://apps.idahovotes.gov/YourPollingPlace/WhereDoIVote.aspx
Illinois,October 7,October 6,October 18,https://www.vote.org/register-to-vote/illinois/,https://ova.elections.il.gov/PollingPlaceLookup.aspx
Indiana,October 5,October 5,October 5,https://www.vote.org/register-to-vote/indiana/,https://indianavoters.in.gov/
Iowa,October 24,October 19,October 24,https://www.vote.org/register-to-vote/iowa/,https://sos.iowa.gov/elections/voterreg/pollingplace/search.aspx
Kansas,October 13,October 13,October 13,https://www.vote.org/register-to-vote/kansas/,https://myvoteinfo.voteks.org/VoterView/PollingPlaceSearch.do
Kentucky,October 5,October 5,October 5,https://www.vote.org/register-to-vote/kentucky/,https://vrsws.sos.ky.gov/vic/
Louisiana,October 4,October 4,October 14,https://www.vote.org/register-to-vote/louisiana/,https://voterportal.sos.la.gov/
Maine,November 3,October 5,N/A,#,https://www1.maine.gov/portal/government/edemocracy/voter_lookup.php
Maryland,October 13,October 13,October 13,https://www.vote.org/register-to-vote/maryland/,https://elections.maryland.gov/voting/where.html
Massachusetts,October 14,October 14,October 14,https://www.vote.org/register-to-vote/massachusetts/,https://www.sec.state.ma.us/wheredoivotema/bal/MyElectionInfo.aspx
Michigan,October 19,October 19,October 19,https://www.vote.org/register-to-vote/michigan/,https://mvic.sos.state.mi.us/
Minnesota,November 3,October 13,October 13,https://www.vote.org/register-to-vote/minnesota/,https://pollfinder.sos.state.mn.us/
Mississippi,October 4,October 4,N/A,#,https://www.sos.ms.gov/PollingPlace/Pages/default.aspx
Missouri,October 7,October 7,October 7,https://www.vote.org/register-to-vote/missouri/,https://voteroutreach.sos.mo.gov/PRD/VoterOutreach/VOSearch.aspx
Montana,November 3,October 4,N/A,https://www.vote.org/register-to-vote/montana/,https://app.mt.gov/voterinfo/
Nebraska,October 23,October 16,October 16,https://www.vote.org/register-to-vote/nebraska/,https://www.votercheck.necvr.ne.gov/VoterView/PollingPlaceSearch.do
Nevada,November 3,October 6,October 30,https://www.vote.org/register-to-vote/nevada/,https://www.nvsos.gov/votersearch/
New Hampshire,October 28,October 28,N/A,https://www.vote.org/register-to-vote/new-hampshire/,https://app.sos.nh.gov/Public/PollingPlaceSearch.aspx
New Jersey,October 13,October 13,N/A,New Jersey does not offer online registration,https://voter.svrs.nj.gov/polling-place-search
New Mexico,October 6,October 6,October 6,https://www.vote.org/register-to-vote/new-mexico/,https://voterportal.servis.sos.state.nm.us/WhereToVoteAddress.aspx
New York,October 9,October 9,October 9,https://www.vote.org/register-to-vote/new-york/,https://voterlookup.elections.ny.gov/
North Carolina,October 9,October 9,October 9,https://www.vote.org/register-to-vote/north-carolina/,https://vt.ncsbe.gov/PPLkup/
North Dakota,Bring ID to Polling Station,Bring ID to Polling Station,Bring ID to Polling Station,#,https://vip.sos.nd.gov/wheretovote.aspx
Ohio,October 4,October 4,October 4,https://www.vote.org/register-to-vote/ohio/,https://voterlookup.ohiosos.gov/VoterLookup.aspx
Oklahoma,October 9,October 9,N/A,#,https://okvoterportal.okelections.us/
Oregon,October 13,October 13,October 13,https://www.vote.org/register-to-vote/oregon/,https://sos.oregon.gov/voting/Pages/drop-box-locator.aspx
Pennsylvania,October 19,October 19,October 19,https://www.vote.org/register-to-vote/pennsylvania/,https://www.pavoterservices.pa.gov/Pages/PollingPlaceInfo.aspx
Rhode Island,October 4,October 4,October 4,https://www.vote.org/register-to-vote/rhode-island/,https://vote.sos.ri.gov/Home/PollingPlaces?ActiveFlag=2
South Carolina,October 2,October 5,October 4,https://www.vote.org/register-to-vote/south-carolina/,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo
South Dakota,October 19,October 19,N/A,#,https://vip.sdsos.gov/viplogin.aspx
Tennessee,October 5,October 5,October 4,https://www.vote.org/register-to-vote/tennessee/,https://web.go-vote-tn.elections.tn.gov/
Texas,October 5,October 5,N/A,#,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do
Utah,October 27,October 5,October 27,https://www.vote.org/register-to-vote/utah/,https://votesearch.utah.gov/voter-search/search/search-by-address/how-and-where-can-i-vote
Vermont,November 3,November 3,October 30,https://www.vote.org/register-to-vote/vermont/,https://mvp.sec.state.vt.us/
Virginia,October 12,October 12,October 12,https://www.vote.org/register-to-vote/virginia/,https://www.elections.virginia.gov/citizen-portal/index.html
Washington,November 3,October 26,October 26,https://www.vote.org/register-to-vote/washington/,https://www.sos.wa.gov/elections/auditors/
West Virginia,October 13,October 13,October 13,https://www.vote.org/register-to-vote/west-virginia/,https://services.sos.wv.gov/Elections/Voter/FindMyPollingPlace
Wisconsin,October 30,October 14,October 14,https://www.vote.org/register-to-vote/wisconsin/,https://myvote.wi.gov/en-US/FindMyPollingPlace
Wyoming,October 20,October 20,N/A,#,https://soswy.state.wy.us/Elections/PollPlace/Default.aspx
